    l     m      ompat       rmid
    5     5   1594.117    0.86085
    7     5   1868.625    0.90225
    6     6   1536.512    0.88344
    8     6   1746.743    0.91122
    7     7   1490.232    0.89639
    9     7   1657.205    0.91841
   11     7   1785.579    0.93179
    8     8   1451.598    0.90630
   10     8   1588.208    0.92431
   12     8   1695.896    0.93583
    9     9   1418.746    0.91413
   11     9   1533.127    0.92928
   13     9   1625.181    0.93935
   15     9   1704.190    0.94656
   10    10   1390.402    0.92060
   12    10   1487.945    0.93357
   14    10   1567.830    0.94244
   16    10   1637.006    0.94892
   18    10   1698.875    0.95395
   11    11   1365.643    0.92602
   13    11   1450.078    0.93731
   15    11   1520.264    0.94519
   17    11   1581.524    0.95106
   19    11   1636.574    0.95568
   12    12   1343.787    0.93068
   14    12   1417.784    0.94052
   16    12   1480.087    0.94765
   18    12   1534.856    0.95300
   20    12   1584.288    0.95731
   13    13   1324.315    0.93468
   15    13   1389.842    0.94343
   17    13   1445.636    0.94986
   19    13   1494.998    0.95481
   21    13   1539.730    0.95875
   14    14   1306.828    0.93820
   16    14   1365.373    0.94602
   18    14   1415.715    0.95187
   20    14   1460.513    0.95643
    9     5   2066.461    0.92155
   11     5   2227.991    0.93371
   13     5   2367.927    0.94220
   10     6   1903.535    0.92711
   12     6   2033.528    0.93757
   14     6   2147.022    0.94512
   13     7   1893.421    0.94094
   15     7   1988.234    0.94770
   14     8   1787.402    0.94392
   16     8   1868.358    0.95000
   17     9   1774.489    0.95208
   22    14   1501.264    0.96011
    4     4   1653.453    0.80209
    3     3   1735.687    0.77107
    2     2   2170.018    0.27945
    2     2   1802.186    0.50068
